,Name,Address,Price,Rating,Amenities
0,OYO 35831 Hotel New Nataraj,"Near Tarabai Park, Kolhapur",₹1263,(2 Ratings),"Private Entrance, Reception, Washing Machine"
1,OYO 19321 Hotel Surya Comforts,"Near Gokul Hotel, railway station road, Kolhapur",₹1216,(377 Ratings),"Parking Facility, Free Wifi, Power backup"
2,OYO 15198 Hotel Ranjeet,"Near Central Bus Stand, Kolhapur",₹1543,(41 Ratings),"Parking Facility, Free Wifi, AC"
3,OYO 71837 Hotel Landmark,"Near Dabholkar Cornner, Tarabai Park, Kolhapur",₹1528,(631 Ratings),"Parking Facility, Reception, Free Wifi"
4,OYO 2453 Hotel Mangesh Plaza,"Near Svayambhu Ganesh Mandir, Laxmipuri, Kolhapur",₹1707,(761 Ratings),"AC, AC, TV"
5,OYO 12205 Vishnupriya Regency,"New Shahupuri, Kolhapur",₹1139,(502 Ratings),"Parking Facility, Power backup, Card Payment"
6,SPOT ON 77312 Indirasagar Executive,"India, Kolhapur",₹992,(80 Ratings),"Doctor on Call, AC, Reception"
7,OYO KLP105 Dwarika Guest House,"India, Kolhapur",₹1111,,"Hair Dryer, Reception, Security"
8,SPOT ON 68917 Hotel Diamond Lodging And Boarding,"Panhala Road, Kolhapur",₹845,(21 Ratings),"TV, Parking Facility, Reception"
9,OYO 70464 Hotel Vishal Chokak,"Near Vishal Mandap Decr, Chokak, Kolhapur",₹1041,(223 Ratings),"Parking Facility, Reception, Garden/Backyard"
10,SPOT ON 70174 Anand Lodging,"Near Post Office, Shahuwadi, Kolhapur",₹845,(15 Ratings),"Parking Facility, Reception, CCTV Cameras"
